reason,channel,status,user_id,created_date
METAL_RESERVE_PLAN,SMS,SENT,user_2100,2018-10-14 15:57:31.399365+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4259,2018-10-14 12:40:13.511107+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8665,2018-10-14 05:00:36.873096+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4183,2018-10-14 17:53:05.485382+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_7839,2018-10-16 02:19:43.132725+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_3717,2018-10-14 04:01:08.544875+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4578,2018-10-14 04:56:43.674493+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_8702,2018-10-14 18:46:25.360560+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2094,2018-10-14 20:01:11.167104+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_9808,2018-10-15 09:01:13.799572+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4085,2018-10-14 04:58:36.849903+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_4164,2018-10-14 07:37:39.716451+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6113,2018-10-15 12:34:32.309529+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_982,2018-10-14 18:14:16.587340+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2397,2018-10-14 08:21:45.289072+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_2948,2018-10-14 18:51:49.570254+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_9682,2018-10-14 07:18:05.938868+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6179,2018-10-14 18:23:42.746729+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_1546,2018-10-14 23:29:17.079916+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6544,2018-10-14 16:00:59.136237+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_813,2018-10-16 03:35:52.733482+00:00
METAL_RESERVE_PLAN,SMS,SENT,user_6301,2018-10-14 18:53:13.901342+00:00
