created_date,country,decade,daily_volume,transaction_count
2018-01-08 00:00:00+00:00,IT,1980s,17.59,3
2018-01-08 00:00:00+00:00,LT,1990s,85.1,2
2018-01-08 00:00:00+00:00,LU,1970s,116.89,2
2018-01-08 00:00:00+00:00,MT,1980s,13.620000000000001,2
2018-01-08 00:00:00+00:00,MT,1990s,297.88,3
2018-01-08 00:00:00+00:00,PL,1970s,16.39,3
2018-01-08 00:00:00+00:00,PL,1990s,117.02,4
2018-01-09 00:00:00+00:00,AT,1980s,132.77,3
2018-01-09 00:00:00+00:00,BG,1980s,42.55,1
2018-01-09 00:00:00+00:00,EE,1980s,42.55,1
2018-01-09 00:00:00+00:00,ES,1980s,47.66,2
2018-01-09 00:00:00+00:00,FR,1980s,25.53,2
2018-01-09 00:00:00+00:00,FR,1990s,440.36,3
2018-01-09 00:00:00+00:00,GB,1940s,300.0,1
2018-01-09 00:00:00+00:00,GB,1960s,1590.13,9
2018-01-09 00:00:00+00:00,GB,1970s,4463.89,11
2018-01-09 00:00:00+00:00,GB,1980s,4375.95,21
2018-01-09 00:00:00+00:00,GB,1990s,1708.19,34
2018-01-09 00:00:00+00:00,GR,1970s,762.5600000000001,2
2018-01-09 00:00:00+00:00,IT,1980s,8.51,1
2018-01-09 00:00:00+00:00,LU,1970s,212.77,1
2018-01-09 00:00:00+00:00,MT,1990s,425.54,2
2018-01-09 00:00:00+00:00,PL,1970s,11.93,2
2018-01-09 00:00:00+00:00,PL,1980s,5.97,2
2018-01-09 00:00:00+00:00,PT,1980s,47.66,2
2018-01-09 00:00:00+00:00,RO,1980s,103.84,1
2018-01-10 00:00:00+00:00,CH,1990s,7.46,1
2018-01-10 00:00:00+00:00,DE,1970s,6.8,1
2018-01-10 00:00:00+00:00,DK,1990s,6.83,1
2018-01-10 00:00:00+00:00,ES,1980s,15.59,4
2018-01-10 00:00:00+00:00,FR,1980s,1307.83,4
2018-01-10 00:00:00+00:00,FR,1990s,27.02,3
2018-01-10 00:00:00+00:00,GB,1940s,371.19,3
2018-01-10 00:00:00+00:00,GB,1950s,55.0,2
2018-01-10 00:00:00+00:00,GB,1960s,1090.36,6
2018-01-10 00:00:00+00:00,GB,1970s,8.56,2
2018-01-10 00:00:00+00:00,GB,1980s,3331.35,36
2018-01-10 00:00:00+00:00,GB,1990s,22470.74,39
2018-01-10 00:00:00+00:00,GR,1970s,379.66,4
2018-01-10 00:00:00+00:00,HU,1970s,217.86,2
2018-01-10 00:00:00+00:00,IE,1980s,687.65,4
2018-01-10 00:00:00+00:00,IT,1980s,6.8,1
2018-01-10 00:00:00+00:00,LT,1960s,29.3,5
2018-01-10 00:00:00+00:00,LT,1970s,17.02,1
2018-01-10 00:00:00+00:00,LT,1980s,14.469999999999999,2
2018-01-10 00:00:00+00:00,LT,1990s,372.22,6
2018-01-10 00:00:00+00:00,LU,1970s,160.0,4
2018-01-10 00:00:00+00:00,MT,1990s,69.79,1
2018-01-10 00:00:00+00:00,PL,1970s,21.869999999999997,2
2018-01-10 00:00:00+00:00,PL,1980s,13.74,1
2018-01-10 00:00:00+00:00,PL,1990s,9.94,1
2018-01-10 00:00:00+00:00,RO,1980s,1343.03,5
2018-01-10 00:00:00+00:00,SI,1970s,42.55,1
2018-01-10 00:00:00+00:00,SI,1990s,76.81,3
2018-01-11 00:00:00+00:00,CY,1980s,47.66,2
2018-01-11 00:00:00+00:00,CZ,1980s,8.51,1
2018-01-11 00:00:00+00:00,ES,1980s,154.34,9
2018-01-11 00:00:00+00:00,ES,1990s,42.55,1
2018-01-11 00:00:00+00:00,FI,1990s,102.12,2
2018-01-11 00:00:00+00:00,FR,1960s,42.51,1
2018-01-11 00:00:00+00:00,FR,1970s,54.459999999999994,3
2018-01-11 00:00:00+00:00,FR,1980s,90.21000000000001,4
2018-01-11 00:00:00+00:00,FR,1990s,54.459999999999994,3
2018-01-11 00:00:00+00:00,GB,1950s,20.15,4
2018-01-11 00:00:00+00:00,GB,1960s,748.5,4
2018-01-11 00:00:00+00:00,GB,1970s,2256.63,12
2018-01-11 00:00:00+00:00,GB,1980s,5243.81,48
2018-01-11 00:00:00+00:00,GB,1990s,9967.52,31
2018-01-11 00:00:00+00:00,IE,1980s,342.13,2
2018-01-11 00:00:00+00:00,LT,1960s,59.699999999999996,3
2018-01-11 00:00:00+00:00,LT,1990s,85.11,1
2018-01-11 00:00:00+00:00,LU,1970s,142.98,3
2018-01-11 00:00:00+00:00,MT,1980s,47.66,2
2018-01-11 00:00:00+00:00,PL,1960s,15.9,1
2018-01-11 00:00:00+00:00,PL,1980s,221.46,5
2018-01-11 00:00:00+00:00,PL,1990s,1004.15,6
2018-01-11 00:00:00+00:00,RO,1980s,38.3,5
2018-01-11 00:00:00+00:00,RO,1990s,13.78,2
2018-01-11 00:00:00+00:00,SI,1970s,144.68,2
2018-01-12 00:00:00+00:00,CH,1980s,186.6,1
2018-01-12 00:00:00+00:00,CH,1990s,41.05,1
2018-01-12 00:00:00+00:00,CY,1980s,42.55,1
2018-01-12 00:00:00+00:00,DE,1990s,102.13,1
2018-01-12 00:00:00+00:00,ES,1980s,13.620000000000001,2
2018-01-12 00:00:00+00:00,ES,1990s,255.32,2
2018-01-12 00:00:00+00:00,FI,1990s,53.480000000000004,5
2018-01-12 00:00:00+00:00,FR,1940s,177.01999999999998,3
2018-01-12 00:00:00+00:00,FR,1980s,325.77000000000004,7
2018-01-12 00:00:00+00:00,FR,1990s,277.21,2
2018-01-12 00:00:00+00:00,GB,1950s,351.4,3
2018-01-12 00:00:00+00:00,GB,1960s,10099.0,3
2018-01-12 00:00:00+00:00,GB,1970s,2923.39,11
2018-01-12 00:00:00+00:00,GB,1980s,3764.75,31
2018-01-12 00:00:00+00:00,GB,1990s,23223.620000000003,24
2018-01-12 00:00:00+00:00,GR,1970s,12.76,2
2018-01-12 00:00:00+00:00,IE,1990s,8.51,1
2018-01-12 00:00:00+00:00,LT,1960s,6.1,2
2018-01-12 00:00:00+00:00,LT,1980s,2.16,1
2018-01-12 00:00:00+00:00,LT,1990s,276.6,2
2018-01-12 00:00:00+00:00,LU,1970s,27.61,1
2018-01-12 00:00:00+00:00,NL,1980s,85.11,1
2018-01-12 00:00:00+00:00,PL,1960s,457.32,3
2018-01-12 00:00:00+00:00,PL,1980s,455.77,8
2018-01-12 00:00:00+00:00,PT,1980s,42.55,1
2018-01-12 00:00:00+00:00,RO,1980s,358.06,2
2018-01-12 00:00:00+00:00,SE,1970s,79.44,1
2018-01-12 00:00:00+00:00,SI,1970s,4.26,1
2018-01-13 00:00:00+00:00,BG,1980s,1786.3799999999999,9
2018-01-13 00:00:00+00:00,CH,1980s,37.32,1
2018-01-13 00:00:00+00:00,ES,1980s,25.53,1
2018-01-13 00:00:00+00:00,ES,1990s,1494.47,4
2018-01-13 00:00:00+00:00,FR,1940s,170.22,2
2018-01-13 00:00:00+00:00,FR,1980s,80.0,2
2018-01-13 00:00:00+00:00,GB,1950s,4.13,1
2018-01-13 00:00:00+00:00,GB,1960s,4.23,1
2018-01-13 00:00:00+00:00,GB,1970s,1517.19,17
2018-01-13 00:00:00+00:00,GB,1980s,7050.04,23
2018-01-13 00:00:00+00:00,GB,1990s,21997.300000000003,13
2018-01-13 00:00:00+00:00,HU,1980s,12.77,1
2018-01-13 00:00:00+00:00,IE,1980s,37.06,1
2018-01-13 00:00:00+00:00,LT,1960s,11.09,2
2018-01-13 00:00:00+00:00,LT,1970s,8.51,1
2018-01-13 00:00:00+00:00,PL,1970s,202.81,2
2018-01-13 00:00:00+00:00,PL,1980s,44.54,7
2018-01-13 00:00:00+00:00,PL,1990s,148.51,3
2018-01-13 00:00:00+00:00,PT,1980s,17.02,1
2018-01-13 00:00:00+00:00,PT,1990s,13.620000000000001,2
2018-01-13 00:00:00+00:00,SE,1970s,4.45,1
2018-01-14 00:00:00+00:00,AT,1980s,114.11,3
2018-01-14 00:00:00+00:00,CH,1980s,18.27,2
2018-01-14 00:00:00+00:00,CH,1990s,1373.77,4
2018-01-14 00:00:00+00:00,DE,1970s,1.15,1
2018-01-14 00:00:00+00:00,ES,1980s,94.69,10
2018-01-14 00:00:00+00:00,FR,1940s,672.36,5
2018-01-14 00:00:00+00:00,FR,1960s,24.54,1
2018-01-14 00:00:00+00:00,FR,1980s,330.74,8
2018-01-14 00:00:00+00:00,FR,1990s,333.48,7
2018-01-14 00:00:00+00:00,GB,1950s,310.0,4
2018-01-14 00:00:00+00:00,GB,1960s,400.0,2
2018-01-14 00:00:00+00:00,GB,1970s,1011.02,15
2018-01-14 00:00:00+00:00,GB,1980s,3086.41,31
2018-01-14 00:00:00+00:00,GB,1990s,2849.13,25
2018-01-14 00:00:00+00:00,HU,1980s,5.11,1
2018-01-14 00:00:00+00:00,IE,1980s,85.11,1
2018-01-14 00:00:00+00:00,IE,1990s,177.01000000000002,2
2018-01-14 00:00:00+00:00,LT,1960s,3.83,1
2018-01-14 00:00:00+00:00,LT,1990s,21.28,1
2018-01-14 00:00:00+00:00,MT,1980s,1.7,1
2018-01-14 00:00:00+00:00,PL,1960s,32.31,1
2018-01-14 00:00:00+00:00,PL,1980s,19.88,1
2018-01-14 00:00:00+00:00,PL,1990s,21.91,3
2018-01-14 00:00:00+00:00,RO,1980s,715.51,3
2018-01-14 00:00:00+00:00,SI,1970s,51.06,1
2018-01-14 00:00:00+00:00,SI,1990s,2.51,2
2018-01-15 00:00:00+00:00,CH,1990s,51.5,2
2018-01-15 00:00:00+00:00,CZ,1960s,5.11,1
2018-01-15 00:00:00+00:00,DE,1980s,51.13999999999999,3
2018-01-15 00:00:00+00:00,DE,1990s,170.21,1
2018-01-15 00:00:00+00:00,ES,1980s,52.559999999999995,4
2018-01-15 00:00:00+00:00,ES,1990s,37.45,1
2018-01-15 00:00:00+00:00,FI,1990s,60.35,5
2018-01-15 00:00:00+00:00,FR,1940s,342.15,4
2018-01-15 00:00:00+00:00,FR,1960s,181.28,1
2018-01-15 00:00:00+00:00,FR,1980s,274.93,6
2018-01-15 00:00:00+00:00,FR,1990s,242.66,8
2018-01-15 00:00:00+00:00,GB,1950s,250.0,1
2018-01-15 00:00:00+00:00,GB,1960s,116.85,5
2018-01-15 00:00:00+00:00,GB,1970s,543.51,8
2018-01-15 00:00:00+00:00,GB,1980s,2106.69,18
2018-01-15 00:00:00+00:00,GB,1990s,3679.32,28
2018-01-15 00:00:00+00:00,GR,1970s,17.02,2
2018-01-15 00:00:00+00:00,IE,1990s,42.55,1
2018-01-15 00:00:00+00:00,IT,1990s,42.55,1
2018-01-15 00:00:00+00:00,MT,1980s,2.55,2
2018-01-15 00:00:00+00:00,NL,1980s,5.11,1
2018-01-15 00:00:00+00:00,PL,1960s,23.66,1
2018-01-15 00:00:00+00:00,PL,1980s,20.11,6
2018-01-15 00:00:00+00:00,PL,1990s,6.76,2
2018-01-15 00:00:00+00:00,RO,1970s,14.83,2
2018-01-15 00:00:00+00:00,RO,1980s,5.37,1
2018-01-15 00:00:00+00:00,SI,1970s,24.51,1
2018-01-16 00:00:00+00:00,BG,1980s,0.09,1
2018-01-16 00:00:00+00:00,CH,1980s,8.38,1
2018-01-16 00:00:00+00:00,CH,1990s,373.21,1
2018-01-16 00:00:00+00:00,CZ,1990s,30.64,2
2018-01-16 00:00:00+00:00,ES,1970s,47.66,2
2018-01-16 00:00:00+00:00,ES,1980s,1075.6299999999999,10
2018-01-16 00:00:00+00:00,FR,1940s,340.44,4
2018-01-16 00:00:00+00:00,FR,1980s,2.11,1
2018-01-16 00:00:00+00:00,FR,1990s,238.32,10
2018-01-16 00:00:00+00:00,GB,1950s,809.13,4
2018-01-16 00:00:00+00:00,GB,1970s,9784.88,25
2018-01-16 00:00:00+00:00,GB,1980s,2819.17,36
2018-01-16 00:00:00+00:00,GB,1990s,5807.25,22
2018-01-16 00:00:00+00:00,IE,1980s,85.11,1
2018-01-16 00:00:00+00:00,LT,1990s,8.51,1
2018-01-16 00:00:00+00:00,MT,1980s,170.21,1
2018-01-16 00:00:00+00:00,NL,1980s,14.469999999999999,2
2018-01-16 00:00:00+00:00,PL,1960s,5.81,1
2018-01-16 00:00:00+00:00,PL,1970s,42.99,2
2018-01-16 00:00:00+00:00,PL,1980s,51.86,6
2018-01-16 00:00:00+00:00,RO,1980s,27.92,4
2018-01-16 00:00:00+00:00,RO,1990s,665.6,2
2018-01-17 00:00:00+00:00,AT,1980s,3.4,1
2018-01-17 00:00:00+00:00,CH,1970s,191.82,2
2018-01-17 00:00:00+00:00,CH,1980s,74.64,1
2018-01-17 00:00:00+00:00,CH,1990s,68.56,2
2018-01-17 00:00:00+00:00,DE,1980s,399.15,4
2018-01-17 00:00:00+00:00,ES,1970s,149.79000000000002,3
2018-01-17 00:00:00+00:00,ES,1980s,432.54,11
2018-01-17 00:00:00+00:00,FR,1940s,170.22,2
2018-01-17 00:00:00+00:00,FR,1970s,212.77,1
2018-01-17 00:00:00+00:00,FR,1980s,750.1399999999999,9
2018-01-17 00:00:00+00:00,FR,1990s,79.79,2
2018-01-17 00:00:00+00:00,GB,1960s,1718.97,5
2018-01-17 00:00:00+00:00,GB,1970s,2501.76,23
2018-01-17 00:00:00+00:00,GB,1980s,5298.27,47
2018-01-17 00:00:00+00:00,GB,1990s,40875.93,29
2018-01-17 00:00:00+00:00,GI,1990s,62.0,2
2018-01-17 00:00:00+00:00,IE,1970s,13.620000000000001,2
2018-01-17 00:00:00+00:00,IE,1980s,1140.4199999999998,7
2018-01-17 00:00:00+00:00,IT,1980s,42.55,1
2018-01-17 00:00:00+00:00,LT,1960s,4.68,1
2018-01-17 00:00:00+00:00,LT,1980s,17.02,2
2018-01-17 00:00:00+00:00,LT,1990s,3676.6,3
2018-01-17 00:00:00+00:00,MT,1980s,40.42,2
2018-01-17 00:00:00+00:00,PL,1970s,3.43,1
2018-01-17 00:00:00+00:00,PL,1980s,196.51,10
2018-01-17 00:00:00+00:00,PT,1980s,44.25,2
2018-01-18 00:00:00+00:00,AT,1980s,1.97,1
2018-01-18 00:00:00+00:00,CH,1990s,2.46,1
2018-01-18 00:00:00+00:00,DE,1980s,12.34,1
2018-01-18 00:00:00+00:00,DE,1990s,70.16,1
2018-01-18 00:00:00+00:00,EE,1980s,7.69,1
2018-01-18 00:00:00+00:00,ES,1980s,59.56999999999999,3
2018-01-18 00:00:00+00:00,FI,1990s,105.53,2
2018-01-18 00:00:00+00:00,FR,1940s,255.32999999999998,3
2018-01-18 00:00:00+00:00,FR,1970s,8.51,1
2018-01-18 00:00:00+00:00,FR,1980s,358.10999999999996,9
2018-01-18 00:00:00+00:00,FR,1990s,110.0,2
2018-01-18 00:00:00+00:00,GB,1960s,2104.45,14
2018-01-18 00:00:00+00:00,GB,1970s,3511.34,28
2018-01-18 00:00:00+00:00,GB,1980s,25012.8,59
2018-01-18 00:00:00+00:00,GB,1990s,33981.08,58
2018-01-18 00:00:00+00:00,GR,1970s,1.11,1
2018-01-18 00:00:00+00:00,IE,1970s,85.11,1
2018-01-18 00:00:00+00:00,IE,1980s,17.02,1
2018-01-18 00:00:00+00:00,LT,1960s,4.68,1
2018-01-18 00:00:00+00:00,LT,1990s,109.59,6
2018-01-18 00:00:00+00:00,LU,1970s,49.349999999999994,2
2018-01-18 00:00:00+00:00,MT,1980s,187.75,5
2018-01-18 00:00:00+00:00,MT,1990s,17.02,1
2018-01-18 00:00:00+00:00,PL,1960s,108.4,3
2018-01-18 00:00:00+00:00,PL,1980s,76.08,11
2018-01-18 00:00:00+00:00,PL,1990s,751.6700000000001,4
2018-01-18 00:00:00+00:00,PT,1980s,10.22,2
2018-01-18 00:00:00+00:00,RO,1990s,45.24,7
2018-01-18 00:00:00+00:00,SE,1980s,39.72,1
2018-01-19 00:00:00+00:00,CH,1970s,37.32,1
2018-01-19 00:00:00+00:00,CZ,1990s,34.04,1
2018-01-19 00:00:00+00:00,DE,1980s,84.95,7
2018-01-19 00:00:00+00:00,ES,1980s,99.25999999999999,4
2018-01-19 00:00:00+00:00,ES,1990s,3516.2,2
2018-01-19 00:00:00+00:00,FR,1940s,85.11,1
2018-01-19 00:00:00+00:00,FR,1950s,425.54,2
2018-01-19 00:00:00+00:00,FR,1980s,30.38,6
2018-01-19 00:00:00+00:00,FR,1990s,55.0,1
2018-01-19 00:00:00+00:00,GB,1950s,50.0,1
2018-01-19 00:00:00+00:00,GB,1960s,1332.53,9
2018-01-19 00:00:00+00:00,GB,1970s,33246.12,17
2018-01-19 00:00:00+00:00,GB,1980s,12639.48,28
2018-01-19 00:00:00+00:00,GB,1990s,4797.21,42
2018-01-19 00:00:00+00:00,IE,1960s,74.0,2
2018-01-19 00:00:00+00:00,IE,1980s,42.55,1
2018-01-19 00:00:00+00:00,IT,1970s,8.51,1
2018-01-19 00:00:00+00:00,LT,1960s,4.68,1
2018-01-19 00:00:00+00:00,LT,1980s,66.38,3
2018-01-19 00:00:00+00:00,LT,1990s,79.15,5
2018-01-19 00:00:00+00:00,LU,1970s,249.35000000000002,2
2018-01-19 00:00:00+00:00,MT,1980s,14.469999999999999,3
2018-01-19 00:00:00+00:00,NL,1980s,3.4,1
2018-01-19 00:00:00+00:00,PL,1980s,118.58,12
2018-01-19 00:00:00+00:00,PL,1990s,258.46999999999997,7
2018-01-19 00:00:00+00:00,PT,1980s,25.53,2
2018-01-19 00:00:00+00:00,RO,1980s,314.03000000000003,6
2018-01-19 00:00:00+00:00,RO,1990s,25.0,2
2018-01-19 00:00:00+00:00,SE,1980s,11.52,1
2018-01-19 00:00:00+00:00,SI,1970s,5.97,3
2018-01-20 00:00:00+00:00,AT,1980s,240.82,3
2018-01-20 00:00:00+00:00,CH,1980s,35.37,1
2018-01-20 00:00:00+00:00,CH,1990s,3.62,1
2018-01-20 00:00:00+00:00,CY,1980s,22.13,2
2018-01-20 00:00:00+00:00,DE,1970s,42.55,1
2018-01-20 00:00:00+00:00,DE,1980s,265.45,9
2018-01-20 00:00:00+00:00,EE,1980s,85.11,1
2018-01-20 00:00:00+00:00,ES,1960s,42.55,1
2018-01-20 00:00:00+00:00,ES,1980s,513.53,8
2018-01-20 00:00:00+00:00,ES,1990s,183.84,4
2018-01-20 00:00:00+00:00,FR,1940s,170.21,1
2018-01-20 00:00:00+00:00,FR,1950s,425.54,2
2018-01-20 00:00:00+00:00,FR,1980s,13.02,3
2018-01-20 00:00:00+00:00,FR,1990s,691.35,3
2018-01-20 00:00:00+00:00,GB,1950s,62.0,2
2018-01-20 00:00:00+00:00,GB,1960s,827.45,7
2018-01-20 00:00:00+00:00,GB,1970s,1989.0900000000001,17
2018-01-20 00:00:00+00:00,GB,1980s,1245.97,23
2018-01-20 00:00:00+00:00,GB,1990s,8442.960000000001,25
2018-01-20 00:00:00+00:00,IE,1960s,426.78,2
2018-01-20 00:00:00+00:00,LT,1960s,45.61,2
2018-01-20 00:00:00+00:00,LT,1980s,243.0,3
2018-01-20 00:00:00+00:00,LT,1990s,42.71,4
2018-01-20 00:00:00+00:00,MT,1990s,42.55,1
2018-01-20 00:00:00+00:00,NL,1990s,12.77,2
2018-01-20 00:00:00+00:00,PL,1960s,267.96000000000004,3
2018-01-20 00:00:00+00:00,PL,1970s,25.37,1
2018-01-20 00:00:00+00:00,PL,1980s,115.86,4
2018-01-20 00:00:00+00:00,PL,1990s,1176.49,7
2018-01-20 00:00:00+00:00,PT,1980s,4.25,2
2018-01-20 00:00:00+00:00,PT,1990s,3188.76,2
2018-01-20 00:00:00+00:00,RO,1980s,1077.28,3
2018-01-20 00:00:00+00:00,SI,1970s,12.940000000000001,3
2018-01-21 00:00:00+00:00,AT,1980s,119.96,4
2018-01-21 00:00:00+00:00,BG,1980s,42.55,1
2018-01-21 00:00:00+00:00,CH,1970s,149.56,1
2018-01-21 00:00:00+00:00,CH,1980s,462.84,8
2018-01-21 00:00:00+00:00,CH,1990s,37.629999999999995,2
2018-01-21 00:00:00+00:00,CZ,1990s,47.66,2
2018-01-21 00:00:00+00:00,DE,1980s,176.14,3
2018-01-21 00:00:00+00:00,DE,1990s,0.97,1
2018-01-21 00:00:00+00:00,ES,1960s,6.8,1
2018-01-21 00:00:00+00:00,ES,1980s,53.66,7
2018-01-21 00:00:00+00:00,FI,1990s,53.82,8
2018-01-21 00:00:00+00:00,FR,1940s,340.42,2
2018-01-21 00:00:00+00:00,FR,1950s,425.54,2
2018-01-21 00:00:00+00:00,FR,1970s,85.11,1
2018-01-21 00:00:00+00:00,FR,1980s,375.04,7
2018-01-21 00:00:00+00:00,FR,1990s,352.77,1
2018-01-21 00:00:00+00:00,GB,1960s,874.51,11
2018-01-21 00:00:00+00:00,GB,1970s,1779.66,15
2018-01-21 00:00:00+00:00,GB,1980s,2915.1,28
2018-01-21 00:00:00+00:00,GB,1990s,931.13,28
2018-01-21 00:00:00+00:00,IE,1960s,19.51,1
2018-01-21 00:00:00+00:00,IT,1990s,8.51,1
2018-01-21 00:00:00+00:00,LT,1960s,3.83,1
2018-01-21 00:00:00+00:00,LT,1980s,22.119999999999997,2
2018-01-21 00:00:00+00:00,LT,1990s,13.09,2
