country,User Count
AT,78
AU,6
BE,143
BG,94
CH,443
CY,191
CZ,355
DE,446
DK,101
EE,35
ES,991
FI,38
FR,2110
GB,6315
GF,1
GG,15
GI,44
GP,10
GR,218
HR,63
HU,157
IE,1214
IM,11
IS,7
IT,311
JE,55
LI,4
LT,646
LU,24
LV,171
MQ,4
MT,548
NL,174
NO,87
PL,2306
PT,604
RE,7
RO,1096
SE,141
SI,87
SK,79
